Date,Open,High,Low,Close,Adj Close,Volume
11/17/2016,3950,4040,3950,4000,3431.399658,84236700
11/18/2016,4020,4030,3960,3970,3405.663818,98115300
11/21/2016,3950,3970,3920,3930,3371.350098,82463000
11/22/2016,3920,3970,3910,3950,3388.50708,69602800
11/23/2016,3930,3970,3920,3940,3379.928467,108352600
11/24/2016,3900,3930,3760,3810,3268.407959,91265600
11/25/2016,3770,3830,3770,3830,3285.565186,65999500
11/28/2016,3850,3860,3820,3840,3294.143555,61860400
11/29/2016,3830,3880,3830,3840,3294.143555,73215900
11/30/2016,3820,3900,3770,3780,3242.672363,145322000
12/1/2016,3820,3900,3810,3860,3311.300781,96825100
12/2/2016,3820,3960,3810,3910,3354.193115,68873200
12/5/2016,3900,4000,3890,3960,3397.085449,56831800
12/6/2016,3930,3960,3900,3910,3354.193115,67135100
12/7/2016,3890,3890,3820,3850,3302.721924,74498300
12/8/2016,3880,3940,3860,3940,3379.928467,80253900
12/9/2016,3930,3980,3910,3960,3397.085449,73229000
12/13/2016,3920,3970,3900,3970,3405.663818,85397800
12/14/2016,3910,3970,3910,3920,3362.77124,53216800
12/15/2016,3840,3940,3830,3910,3370.857178,58982800
12/16/2016,3910,3910,3820,3820,3293.26709,111038700
12/19/2016,3850,3890,3800,3800,3276.024902,64957800
12/20/2016,3750,3800,3710,3730,3215.677002,88601300
12/21/2016,3800,3850,3760,3780,3258.782715,65390700
12/22/2016,3720,3780,3720,3750,3232.919189,53482700
12/23/2016,3790,3790,3670,3690,3181.192627,46232300
12/27/2016,3690,3760,3670,3730,3215.677002,48998200
12/28/2016,3770,3840,3770,3830,3301.888428,39654200
12/29/2016,3830,3960,3810,3940,3396.720459,126802300
12/30/2016,3940,4020,3940,3980,3431.205078,128649100
1/2/2017,3980,3980,3980,3980,3431.205078,0
1/3/2017,3950,3990,3920,3950,3405.341797,71660600
1/4/2017,3880,3980,3880,3950,3405.341797,68494500
1/5/2017,3960,4030,3940,3950,3405.341797,74018400
1/6/2017,3970,4010,3960,4000,3448.44751,44136900
1/9/2017,4000,4030,3990,4020,3465.689453,85713200
1/10/2017,4030,4030,3960,4000,3448.44751,44608000
1/11/2017,3960,4000,3950,3960,3413.962402,47226300
1/12/2017,3920,3970,3920,3960,3413.962402,45738500
1/13/2017,3930,3970,3930,3950,3405.341797,64704600
1/16/2017,3970,4000,3950,3950,3405.341797,42188800
1/17/2017,3980,4000,3960,3970,3422.58374,45793400
1/18/2017,3960,4010,3950,3960,3413.962402,56558200
1/19/2017,3940,3980,3920,3970,3422.58374,53435400
1/20/2017,3920,3940,3820,3830,3301.888428,101523500
1/23/2017,3800,3880,3780,3840,3310.509521,77653500
1/24/2017,3850,3950,3850,3910,3370.857178,113430200
1/25/2017,3940,3940,3890,3900,3362.236328,47799100
1/26/2017,3900,3960,3860,3940,3396.720459,60944600
1/27/2017,3900,3920,3880,3890,3353.61499,47240400
1/30/2017,3860,3910,3860,3860,3327.751709,30060700
1/31/2017,3870,3920,3860,3870,3336.372559,57849200
2/1/2017,3910,3980,3900,3940,3396.720459,77648400
2/2/2017,3940,3980,3900,3950,3405.341797,73895600
2/3/2017,3900,3970,3900,3950,3405.341797,59225000
2/6/2017,3940,3960,3910,3960,3413.962402,52999700
2/7/2017,3930,3960,3920,3920,3379.478271,66017500
2/8/2017,3900,3920,3860,3870,3336.372559,115706000
2/9/2017,3870,3910,3860,3870,3336.372559,78090700
2/10/2017,3870,3910,3860,3890,3353.61499,91636700
2/13/2017,3920,3920,3900,3920,3379.478271,54547600
2/14/2017,3900,3900,3840,3860,3327.751709,146309400
2/15/2017,3860,3860,3860,3860,3327.751709,0
2/16/2017,3880,3890,3840,3870,3336.372559,127779400
2/17/2017,3890,3890,3850,3870,3336.372559,80814700
2/20/2017,3860,3880,3850,3870,3336.372559,26820400
2/21/2017,3880,3890,3860,3880,3344.993896,49368500
2/22/2017,3880,3890,3850,3880,3344.993896,74260200
2/23/2017,3860,3870,3830,3840,3310.509521,122760100
2/24/2017,3830,3870,3830,3840,3310.509521,71119600
2/27/2017,3850,3890,3850,3870,3336.372559,54712100
2/28/2017,3860,3900,3850,3850,3319.130615,65928100
3/1/2017,3870,3890,3840,3850,3319.130615,79662500
3/2/2017,3870,3870,3830,3830,3301.888428,59748700
3/3/2017,3820,3870,3810,3850,3319.130615,92350100
3/6/2017,3860,3920,3850,3920,3379.478271,99064100
3/7/2017,3920,3950,3890,3950,3405.341797,61945400
3/8/2017,3920,3930,3880,3880,3344.993896,31336300
3/9/2017,3960,3960,3880,3960,3413.962402,83224900
3/10/2017,3970,3990,3910,3950,3405.341797,70318300
3/13/2017,3940,3970,3920,3950,3405.341797,54433000
3/14/2017,3950,4070,3950,4050,3491.552734,122779100
3/15/2017,4030,4080,4010,4040,3482.931885,80434200
3/16/2017,4060,4150,4060,4140,3569.143066,123306900
3/17/2017,4140,4140,4030,4110,3543.279541,123085600
3/20/2017,4100,4110,4050,4100,3534.658447,87628300
3/21/2017,4060,4120,4060,4090,3526.037354,75349600
3/22/2017,4060,4080,4010,4070,3508.794922,110927600
3/23/2017,4070,4100,4050,4090,3526.037354,72319900
3/24/2017,4080,4110,4050,4080,3517.41626,71877500
3/27/2017,4080,4090,4070,4080,3517.41626,56070700
3/29/2017,4080,4150,4080,4150,3577.763916,84076600
3/30/2017,4140,4170,4110,4140,3569.143066,61410200
3/31/2017,4180,4190,4130,4130,3560.521973,88859000
4/3/2017,4130,4200,4130,4170,3595.006348,66564400
4/4/2017,4170,4290,4170,4250,3663.975098,108165500
4/5/2017,4250,4250,4250,4250,3663.975098,0
4/6/2017,4180,4200,4130,4170,3595.006348,79905800
4/7/2017,4130,4140,4110,4130,3560.521973,72954300
4/10/2017,4110,4140,4090,4100,3534.658447,53211800
4/11/2017,4110,4180,4110,4150,3577.763916,54580200
4/12/2017,4170,4170,4110,4150,3577.763916,33441400
4/13/2017,4150,4170,4090,4090,3526.037354,47225000
4/17/2017,4090,4090,4010,4010,3457.068359,51373500
4/18/2017,4060,4120,4050,4070,3508.794922,68193500
4/19/2017,4070,4070,4070,4070,3508.794922,0
4/20/2017,4030,4150,4030,4110,3543.279541,110208600
4/21/2017,4180,4420,4170,4420,3810.53418,237062100
4/25/2017,4500,4520,4330,4420,3810.53418,213322700
4/26/2017,4380,4410,4360,4400,3793.291992,103930700
4/27/2017,4380,4400,4360,4370,3767.428711,78695300
4/28/2017,4400,4410,4370,4370,3767.428711,124845700
5/2/2017,4410,4450,4380,4410,3801.912842,140198900
5/3/2017,4400,4400,4330,4340,3843.865479,92896600
5/4/2017,4360,4390,4340,4370,3870.436279,100510700
5/5/2017,4350,4360,4330,4340,3843.865479,43566800
5/8/2017,4370,4380,4310,4340,3843.865479,85508700
5/9/2017,4390,4450,4330,4340,3843.865479,90061700
5/10/2017,4340,4410,4330,4370,3870.436279,85484500
5/12/2017,4410,4440,4380,4400,3897.006592,84813500
5/15/2017,4420,4420,4320,4360,3861.579102,88965200
5/16/2017,4390,4390,4340,4340,3843.865479,79436500
5/17/2017,4380,4380,4300,4340,3843.865479,65470700
5/18/2017,4300,4340,4270,4310,3817.29541,78913600
5/19/2017,4300,4650,4300,4530,4012.145508,140860000
5/22/2017,4590,4670,4440,4470,3959.004639,92800400
5/23/2017,4500,4520,4370,4400,3897.006592,70551200
5/24/2017,4360,4410,4330,4360,3861.579102,76441800
5/26/2017,4430,4490,4430,4470,3959.004639,123903300
5/29/2017,4470,4470,4360,4390,3888.149902,69694400
5/30/2017,4350,4380,4330,4330,3835.009033,57720500
5/31/2017,4350,4370,4300,4350,3852.722656,184808900
6/1/2017,4350,4350,4350,4350,3852.722656,0
6/2/2017,4400,4450,4340,4380,3879.293457,168414800
6/5/2017,4340,4380,4300,4340,3843.865479,88200300
